Time,Depth,Voltage,Oxygen,Salinity,Temerature
21:29:01,1.0000,1.0000,1.0000,1.0000,1.0000
21:29:11,2.0000,2.0000,2.0000,2.0000,2.0000
21:29:21,3.0000,3.0000,3.0000,3.0000,3.0000
21:29:31,4.0000,4.0000,4.0000,4.0000,4.0000
21:29:41,5.0000,5.0000,5.0000,5.0000,5.0000
21:29:51,6.0000,6.0000,6.0000,6.0000,6.0000
21:30:01,7.0000,7.0000,7.0000,7.0000,7.0000
21:30:11,8.0000,8.0000,8.0000,8.0000,8.0000
21:30:21,9.0000,9.0000,9.0000,9.0000,9.0000
21:30:31,10.0000,10.0000,10.0000,10.0000,10.0000
21:30:41,11.0000,11.0000,11.0000,11.0000,11.0000
21:30:51,12.0000,12.0000,12.0000,12.0000,12.0000
21:31:01,13.0000,13.0000,13.0000,13.0000,13.0000
21:31:11,14.0000,14.0000,14.0000,14.0000,14.0000
21:31:21,15.0000,15.0000,15.0000,15.0000,15.0000
21:31:31,16.0000,16.0000,16.0000,16.0000,16.0000
21:31:41,17.0000,17.0000,17.0000,17.0000,17.0000
21:31:51,18.0000,18.0000,18.0000,18.0000,18.0000
21:32:01,19.0000,19.0000,19.0000,19.0000,19.0000
21:32:11,20.0000,20.0000,20.0000,20.0000,20.0000
21:32:21,21.0000,21.0000,21.0000,21.0000,21.0000
21:32:31,22.0000,22.0000,22.0000,22.0000,22.0000
21:32:41,23.0000,23.0000,23.0000,23.0000,23.0000
21:32:51,24.0000,24.0000,24.0000,24.0000,24.0000
