Time,Depth,Voltage,Oxygen,Salinity,Temerature
21:52:13,1.0000,1.0000,1.0000,1.0000,1.0000
21:52:13,1.0000,1.0000,1.0000,1.0000,1.0000
21:52:19,1.0000,1.0000,1.0000,1.0000,1.0000
21:52:19,1.0000,1.0000,1.0000,1.0000,1.0000
21:52:23,2.0000,2.0000,2.0000,2.0000,2.0000
21:52:23,2.0000,2.0000,2.0000,2.0000,2.0000
21:52:29,2.0000,2.0000,2.0000,2.0000,2.0000
21:52:29,2.0000,2.0000,2.0000,2.0000,2.0000
21:52:33,3.0000,3.0000,3.0000,3.0000,3.0000
21:52:33,3.0000,3.0000,3.0000,3.0000,3.0000
21:52:39,3.0000,3.0000,3.0000,3.0000,3.0000
21:52:39,3.0000,3.0000,3.0000,3.0000,3.0000
21:52:43,4.0000,4.0000,4.0000,4.0000,4.0000
21:52:43,4.0000,4.0000,4.0000,4.0000,4.0000
21:52:49,4.0000,4.0000,4.0000,4.0000,4.0000
21:52:49,4.0000,4.0000,4.0000,4.0000,4.0000
21:52:53,5.0000,5.0000,5.0000,5.0000,5.0000
21:52:53,5.0000,5.0000,5.0000,5.0000,5.0000
21:52:59,5.0000,5.0000,5.0000,5.0000,5.0000
21:52:59,5.0000,5.0000,5.0000,5.0000,5.0000
21:53:03,6.0000,6.0000,6.0000,6.0000,6.0000
21:53:03,6.0000,6.0000,6.0000,6.0000,6.0000
21:53:09,6.0000,6.0000,6.0000,6.0000,6.0000
21:53:09,6.0000,6.0000,6.0000,6.0000,6.0000
21:53:13,7.0000,7.0000,7.0000,7.0000,7.0000
21:53:13,7.0000,7.0000,7.0000,7.0000,7.0000
21:53:19,7.0000,7.0000,7.0000,7.0000,7.0000
21:53:19,7.0000,7.0000,7.0000,7.0000,7.0000
21:53:23,8.0000,8.0000,8.0000,8.0000,8.0000
21:53:23,8.0000,8.0000,8.0000,8.0000,8.0000
21:53:29,8.0000,8.0000,8.0000,8.0000,8.0000
21:53:29,8.0000,8.0000,8.0000,8.0000,8.0000
21:53:33,9.0000,9.0000,9.0000,9.0000,9.0000
21:53:33,9.0000,9.0000,9.0000,9.0000,9.0000
21:53:39,9.0000,9.0000,9.0000,9.0000,9.0000
21:53:39,9.0000,9.0000,9.0000,9.0000,9.0000
21:53:43,10.0000,10.0000,10.0000,10.0000,10.0000
21:53:43,10.0000,10.0000,10.0000,10.0000,10.0000
21:53:49,10.0000,10.0000,10.0000,10.0000,10.0000
21:53:49,10.0000,10.0000,10.0000,10.0000,10.0000
21:53:53,11.0000,11.0000,11.0000,11.0000,11.0000
21:53:53,11.0000,11.0000,11.0000,11.0000,11.0000
21:53:59,11.0000,11.0000,11.0000,11.0000,11.0000
21:53:59,11.0000,11.0000,11.0000,11.0000,11.0000
21:54:03,12.0000,12.0000,12.0000,12.0000,12.0000
21:54:03,12.0000,12.0000,12.0000,12.0000,12.0000
21:54:09,12.0000,12.0000,12.0000,12.0000,12.0000
21:54:09,12.0000,12.0000,12.0000,12.0000,12.0000
21:54:13,13.0000,13.0000,13.0000,13.0000,13.0000
21:54:13,13.0000,13.0000,13.0000,13.0000,13.0000
21:54:19,13.0000,13.0000,13.0000,13.0000,13.0000
21:54:19,13.0000,13.0000,13.0000,13.0000,13.0000
21:54:23,14.0000,14.0000,14.0000,14.0000,14.0000
21:54:23,14.0000,14.0000,14.0000,14.0000,14.0000
21:54:29,14.0000,14.0000,14.0000,14.0000,14.0000
21:54:29,14.0000,14.0000,14.0000,14.0000,14.0000
21:54:33,15.0000,15.0000,15.0000,15.0000,15.0000
21:54:33,15.0000,15.0000,15.0000,15.0000,15.0000
21:54:39,15.0000,15.0000,15.0000,15.0000,15.0000
21:54:39,15.0000,15.0000,15.0000,15.0000,15.0000
21:54:43,16.0000,16.0000,16.0000,16.0000,16.0000
21:54:43,16.0000,16.0000,16.0000,16.0000,16.0000
21:54:49,16.0000,16.0000,16.0000,16.0000,16.0000
21:54:49,16.0000,16.0000,16.0000,16.0000,16.0000
21:54:53,17.0000,17.0000,17.0000,17.0000,17.0000
21:54:53,17.0000,17.0000,17.0000,17.0000,17.0000
21:54:59,17.0000,17.0000,17.0000,17.0000,17.0000
21:54:59,17.0000,17.0000,17.0000,17.0000,17.0000
21:55:03,18.0000,18.0000,18.0000,18.0000,18.0000
21:55:03,18.0000,18.0000,18.0000,18.0000,18.0000
