Time,Depth,Voltage,Oxygen,Salinity,Temerature
22:05:57,1.0000,1.0000,1.0000,1.0000,1.0000
22:05:57,1.0000,1.0000,1.0000,1.0000,1.0000
22:06:00,1.0000,1.0000,1.0000,1.0000,1.0000
22:06:00,1.0000,1.0000,1.0000,1.0000,1.0000
22:06:07,2.0000,2.0000,2.0000,2.0000,2.0000
22:06:07,2.0000,2.0000,2.0000,2.0000,2.0000
22:06:10,2.0000,2.0000,2.0000,2.0000,2.0000
22:06:10,2.0000,2.0000,2.0000,2.0000,2.0000
22:06:17,3.0000,3.0000,3.0000,3.0000,3.0000
22:06:17,3.0000,3.0000,3.0000,3.0000,3.0000
22:06:20,3.0000,3.0000,3.0000,3.0000,3.0000
22:06:20,3.0000,3.0000,3.0000,3.0000,3.0000
22:06:27,4.0000,4.0000,4.0000,4.0000,4.0000
22:06:27,4.0000,4.0000,4.0000,4.0000,4.0000
22:06:30,4.0000,4.0000,4.0000,4.0000,4.0000
22:06:30,4.0000,4.0000,4.0000,4.0000,4.0000
22:06:37,5.0000,5.0000,5.0000,5.0000,5.0000
22:06:37,5.0000,5.0000,5.0000,5.0000,5.0000
22:06:40,5.0000,5.0000,5.0000,5.0000,5.0000
22:06:40,5.0000,5.0000,5.0000,5.0000,5.0000
22:06:47,6.0000,6.0000,6.0000,6.0000,6.0000
22:06:47,6.0000,6.0000,6.0000,6.0000,6.0000
22:06:50,6.0000,6.0000,6.0000,6.0000,6.0000
22:06:50,6.0000,6.0000,6.0000,6.0000,6.0000
